,job_name,company_name,company_loc,job_salary,job_details,job_summary,job_link
0,Python Developer Intern,Not Mentioned,Not Mentioned,"₹15,000 - ₹50,000 a month","Full-time +1,Day shift +1","We are open for both Internship & Full Time.
Develop, test, and maintain high-quality Python code for various projects/repos.
Version Control and Collaboration:",https://in.indeed.com/rc/clk?jk=28083b4d77ae27af&bb=JkG2u9cDLw6OmjUhMtTe6wXr2MHJTOQ9cL6NFQ1MjVR5vw1kwpzeb35nwsLu4GJj4njGXmVN0XtorLqbtYnCggSYytTW5krBFB1u2diEr9w%3D&xkcb=SoCn67M3Eef7nkRigR0LbzkdCdPP&fccid=91c7714f1bdc4814&cmp=Algobulls-Technologies-Pvt-Ltd&ti=Python+Developer&vjs=3
1,Python Fresher,Not Mentioned,Not Mentioned,"₹12,000 - ₹25,000 a month",Full-time +1,"Collaborate with the development team to design, develop, test, and deploy Python applications.
Write clean, maintainable, and efficient code.",https://in.indeed.com/rc/clk?jk=87a4aac9ab028683&bb=JkG2u9cDLw6OmjUhMtTe6zB74nFV-BIqTGOP-dEINsIPiSnXDT4CSHeht3DxBlr6ROz-4X5SHxo-PauI2b3502IgkPt_AS-GSWPQZiiz7qA%3D&xkcb=SoAT67M3Eef7nkRigR0KbzkdCdPP&fccid=bb74a0534c449a36&vjs=3
2,Python Developer,Not Mentioned,Not Mentioned,"₹30,000 - ₹50,000 a month","Full-time,Day shift","Project lifestyle for residential and commercial real estate, driving to collaboratively enhance the end.
A Python Developer to join our engineering team and…",https://in.indeed.com/rc/clk?jk=b935ef97f6633833&bb=JkG2u9cDLw6OmjUhMtTe6zpcMMcDBqAE25TbyoznDznze7C0_XgNo2NLFjKQUWTP7pPXMmRDXw5jwPZuhyLofUPYsmP9DmiGRHe-8tJwUmk%3D&xkcb=SoCO67M3Eef7nkRigR0JbzkdCdPP&fccid=c3a00d0fffc79318&cmp=Lockated&ti=Python+Developer&vjs=3
3,Junior Python Developer,Not Mentioned,Not Mentioned,"₹25,000 - ₹40,000 a month","Full-time,Day shift","The skillset Developer will be responsible for software development, programming and making different types of software modules according to company requirement…",https://in.indeed.com/rc/clk?jk=7ea9dce11c69fdde&bb=JkG2u9cDLw6OmjUhMtTe61OlYHIddR1k_6vL3tAbzZGUS7iVL4RjvOsGiJszD7O7AeBju9jDfr6LWashwzkhRvJGOfU-LxRyIMi879w3dlI%3D&xkcb=SoA667M3Eef7nkRigR0IbzkdCdPP&fccid=d7e5f4d3b63da3ea&cmp=IAISPL&ti=Junior+Python+Developer&vjs=3
4,Python Developer,Not Mentioned,Not Mentioned,"₹10,00,000 - ₹12,00,000 a year","Full-time,Day shift","Writing reusable, testable, and efficient code.
Design and implementation of low-latency, high-availability, and performant applications.",https://in.indeed.com/rc/clk?jk=3986ab97428d1b7b&bb=JkG2u9cDLw6OmjUhMtTe67VS97wZkr9eyC44trq81CazTxWcKUjWzP8uWcShUQPRoeW6I0z6bqViuy8JD5lIoE3xznjE77S0ZLzrIZ6A6zk%3D&xkcb=SoC067M3Eef7nkRigR0PbzkdCdPP&fccid=d487b472e4fc9f89&cmp=Corporatehunt-Private-Limited&ti=Python+Developer&vjs=3
5,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,,Not Mentioned,Not Mentioned
6,Python Fresher,Not Mentioned,Not Mentioned,"₹12,000 - ₹25,000 a month","Full-time +1,Day shift","Collaborate with the development team to design, develop, test, and deploy Python applications.
Write clean, maintainable, and efficient code.",https://in.indeed.com/rc/clk?jk=e6abeae241e904a5&bb=JkG2u9cDLw6OmjUhMtTe63IU_hHs55i_DxAL5QiS7WZ-hSPYAlSzUVf7Cu8sQ-I6CXsRV8_X6QGuiEwd3AumPJnOGv221dqTr7-i7Fr8eV4%3D&xkcb=SoAA67M3Eef7nkRigR0ObzkdCdPP&fccid=3003ad369deae8b1&cmp=Metricoid-Technology-Solutions-Private-Limited&ti=Python+Fresher&vjs=3
7,Machine Learning Developer,Not Mentioned,Not Mentioned,"₹18,000.00 - ₹74,165.64 a month","Full-time +1,Monday to Friday +2","Skills - Computer Vision (preferred), Open CV (preferred), Deep learning, ML.
Study and transform data science prototypes.
Job Types: Full-time, Permanent.",https://in.indeed.com/rc/clk?jk=b56ba74665cefb40&bb=JkG2u9cDLw6OmjUhMtTe66y2Yg9EYkFLtQFpjLqpbHxJzb4920LODM1BDqAN7v8_TIZzcuV-N6qpUOzlQHofIsSIEO3kQvOVxQWXuubRD18%3D&xkcb=SoCd67M3Eef7nkRigR0NbzkdCdPP&fccid=8bd6249e606192cf&cmp=Prisma-Global-Limited&ti=Machine+Learning+Engineer&vjs=3
8,Python Developer,Not Mentioned,Not Mentioned,"₹2,50,000 - ₹5,00,000 a year","Full-time +1,Day shift","Should have experience in various python libraries and different use cases for work process automation.
Looking for dynamic and experienced Software developers…",https://in.indeed.com/rc/clk?jk=877f072efba95b95&bb=JkG2u9cDLw6OmjUhMtTe64XMRRnDNEWD3K0zQvZHpYcJmAAYU89pJR84E721IdgNciY0vSA9OjZk0nNPb30alT-lxpF1iqlvEpo3t2zhKZM%3D&xkcb=SoAp67M3Eef7nkRigR0MbzkdCdPP&fccid=84f96145591ada11&cmp=Mystro&ti=Python+Developer&vjs=3
9,Trainee Big Data Consultant,Not Mentioned,Not Mentioned,"₹6,00,000 - ₹10,00,000 a year","Full-time,Monday to Friday +1","We are looking for bright, young engineers with good mathematics skills and an interest in data analytics/science.
Python/R for data science.",https://in.indeed.com/rc/clk?jk=c363a97100147fa1&bb=JkG2u9cDLw6OmjUhMtTe659t2gmKPLTQL-Vm1zB28mOVudP8tTbrxydnemjVtl_Zzq8iAcx7HWEFS-IetzsSgnFHisvH03EZGAyV8rHefhQ%3D&xkcb=SoDA67M3Eef7nkRigR0DbzkdCdPP&fccid=5789d25e3a0b5581&cmp=Magus-Infotech-India-Pvt.-Ltd.%2C&ti=Data+Consultant&vjs=3
10,Python Developer,Not Mentioned,Not Mentioned,"Up to ₹40,000 a month","Full-time,Day shift","Minimum 1 year experience required.*.
Proven experience as a Python Developer with a strong focus on backend development.",https://in.indeed.com/rc/clk?jk=d8499302d42de968&bb=JkG2u9cDLw6OmjUhMtTe66f5NfyIxGgj8CW7tHIPP3NAZ234nVztfaQC7lP4Q9Q--WwnlgGaXxzgGVZsU3qr9ZC7QxepNGRR5qsDJdNz04I%3D&xkcb=SoB067M3Eef7nkRigR0CbzkdCdPP&fccid=a1108478bc06a801&cmp=AdEngage&ti=Python+Developer&vjs=3
11,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,,Not Mentioned,Not Mentioned
12,Python Developer,Not Mentioned,Not Mentioned,Full-time,Full-time,Dinero Software Pvt. Ltd. Is an innovative Software Development Company that utilizes the latest technologies to bring the best software for our client’s needs.,https://in.indeed.com/rc/clk?jk=32ce9159ce154040&bb=JkG2u9cDLw6OmjUhMtTe61OlYHIddR1k7o2DQFQUYvDZrYLBFPOJUm0CLlaiZqcrrpg-Uf0UUXfCQa0DpVfT9zytTdDRMQsVEnvCVMzUxHQ%3D&xkcb=SoDp67M3Eef7nkRigR0BbzkdCdPP&fccid=b921c3766a5a307a&vjs=3
13,Python Developer,Not Mentioned,Not Mentioned,Not Mentioned,,Required Skill Set: Python with Devops and AWS.,https://in.indeed.com/rc/clk?jk=4782c9181c7c545e&bb=JkG2u9cDLw6OmjUhMtTe6-J0OO6wk6BIeSMVLCqwGqwSSGY8WZKATQLDFpfmMozzhE_2pu7m_6mQJ5ZBgnWKx7UiFU1dN1E55FCoY6K91ZI%3D&xkcb=SoBd67M3Eef7nkRigR0AbzkdCdPP&fccid=d9b9208177142548&vjs=3
14,Python/Django Intern,Not Mentioned,Not Mentioned,"₹5,000 a month","Full-time +1,Monday to Friday +2","S/he should be self-driven, capable of learning things fast and be comfortable working in a dynamic, startup environment.
Create/Work on complex algorithms.",https://in.indeed.com/rc/clk?jk=80c8ef9fc0c3988a&bb=JkG2u9cDLw6OmjUhMtTe66nJpruwfAnjKe-ImkXO0iT7_AIZe6B7kQNrQh8pJMDAqEiGCua0D64sWOe23UZRAf1q02de6bbO41wXHYoqRtc%3D&xkcb=SoDT67M3Eef7nkRigR0HbzkdCdPP&fccid=c9529cfb10e36e95&cmp=AltissAdvance-Technologies-Private-Limited&ti=Python%2Fdjango+Intern&vjs=3
15,Customer Service Insight Analyst,Not Mentioned,Not Mentioned,"Up to ₹15,00,000 a year","Full-time,Rotational shift","Requirements:(Minimum 2+ years of exp in python,SQL,POWER BI,TABLEU,QLIK and Machine Learning)*.
Good experiences (preferably 2+ years) in utilizing Python…",https://in.indeed.com/rc/clk?jk=4e62405af66b8033&bb=JkG2u9cDLw6OmjUhMtTe65Rk6M4jeD8C4p4eGHedgsO6uEyhK-ZJhzzalfJU3ZVWj1yHE7qjq_S3mKleJlMze6HgxmauhvvtNdgsKELLZ40%3D&xkcb=SoBn67M3Eef7nkRigR0GbzkdCdPP&fccid=5fabdf1add26baa3&cmp=Isha-Worldwide&ti=Customer+Insights+Analyst&vjs=3
16,Python Specialist,Not Mentioned,Not Mentioned,Not Mentioned,,"B.Tech./B.E. or other technical degree.
Support sales team by building quick prototypes.
Documenting code and building packages for redistribution.",https://in.indeed.com/rc/clk?jk=0279edc9cab09a47&bb=JkG2u9cDLw6OmjUhMtTe6zB74nFV-BIq9u_2BDAt-trabM4QTsxU0Lv_fEBGbwI13Qamkle9upijMl_8ge8cYsjXb4RSZ8F-E_GyHINgAYs%3D&xkcb=SoD667M3Eef7nkRigR0FbzkdCdPP&fccid=bc5180272d9b5855&vjs=3
17,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,,Not Mentioned,Not Mentioned
